Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,World,Agricultural Production,million t DM/yr,,3501.0726,3789.77,4072.196,4373.4686,4732.0791,5626.4267,6770.2802,8582.5675,9476.8616,9773.3691,10660.0035,11604.7032,12363.6898,12611.3539,12908.9378,13252.0822,13602.2801,13941.3783,14285.1291,14619.5355
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,World,Emissions|CH4|AFOLU,Mt CH4/yr,,169.5857,182.2011,182.9758,186.6077,165.148,146.6417,137.7639,128.7587,122.5319,116.1257,118.0089,119.1906,120.9011,120.4618,122.3981,124.7778,127.1081,129.0811,130.7325,132.1743
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,World,Agricultural Production,million t DM/yr,,3501.0726,3780.9287,4062.031,4357.9421,4709.1597,5614.9317,6729.9457,8528.2078,9347.3816,9598.2627,10266,11190.1551,11989.4311,12256.8221,12568.3282,12909.3152,13252.1738,13583.093,13926.7247,14261.4715
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,World,Emissions|CH4|AFOLU,Mt CH4/yr,,169.5857,182.1991,182.8284,186.3921,165.0634,146.6569,137.7762,128.6358,122.1538,114.8825,116.5872,117.2977,118.9921,117.7459,119.647,121.9076,124.0807,125.8573,127.2733,128.4702
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,World,Agricultural Production,million t DM/yr,,3501.0726,3789.744,4072.1304,4373.439,4733.667,5627.9329,6697.1927,8351.137,9113.1853,9399.4716,10021.5746,10866.3202,11525.9554,11712.4495,11959.5171,12224.7463,12491.4409,12729.4349,12949.8001,13147.3003
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,World,Emissions|CH4|AFOLU,Mt CH4/yr,,169.5857,182.2014,182.9903,186.6492,165.2575,146.8336,138.0034,128.814,122.2484,114.6766,116.2612,116.9648,118.626,117.0468,118.9224,121.14,123.2687,125.0354,126.4817,127.7022
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
