Domain,Area,Element,Item,Year,Unit,Value
Fertilizers by Nutrient,Dominican Republic,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,54065
Fertilizers by Nutrient,Ecuador,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,159096
Fertilizers by Nutrient,Egypt,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,1419020
Fertilizers by Nutrient,El Salvador,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,73674
Fertilizers by Nutrient,Equatorial Guinea,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Eritrea,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,280
Fertilizers by Nutrient,Estonia,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,28628
Fertilizers by Nutrient,Eswatini,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Ethiopia,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,156141
Fertilizers by Nutrient,Ethiopia PDR,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Falkland Islands (Malvinas),Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Faroe Islands,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Fiji,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,2435
Fertilizers by Nutrient,Finland,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,210967
Fertilizers by Nutrient,France,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,2043000
Fertilizers by Nutrient,French Guiana,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,French Polynesia,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,359
Fertilizers by Nutrient,Gabon,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,593
Fertilizers by Nutrient,Gambia,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,1785
Fertilizers by Nutrient,Georgia,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,12913
Fertilizers by Nutrient,Germany,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,1786485
Fertilizers by Nutrient,Ghana,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,24835
Fertilizers by Nutrient,Gibraltar,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Greece,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,177135
Fertilizers by Nutrient,Greenland,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Grenada,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Guadeloupe,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Guam,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Guatemala,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,142138
Fertilizers by Nutrient,Guinea,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,2528
Fertilizers by Nutrient,Guinea-Bissau,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Guyana,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,14136
Fertilizers by Nutrient,Haiti,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Holy See,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Honduras,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,50346
Fertilizers by Nutrient,Hungary,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,272572
Fertilizers by Nutrient,Iceland,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,7590
Fertilizers by Nutrient,India,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,16450653
Fertilizers by Nutrient,Indonesia,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,2784573
Fertilizers by Nutrient,Iran (Islamic Republic of),Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,943706.67
Fertilizers by Nutrient,Iraq,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,107980
Fertilizers by Nutrient,Ireland,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,313649
Fertilizers by Nutrient,Isle of Man,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Israel,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,30200
Fertilizers by Nutrient,Italy,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,498605
Fertilizers by Nutrient,Jamaica,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,4826
Fertilizers by Nutrient,Japan,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,449471
Fertilizers by Nutrient,Jordan,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,15799
Fertilizers by Nutrient,Kazakhstan,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,40701
Fertilizers by Nutrient,Kenya,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,70788
Fertilizers by Nutrient,Kiribati,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Kuwait,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Kyrgyzstan,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,25714
Fertilizers by Nutrient,Lao People's Democratic Republic,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Latvia,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,58643
Fertilizers by Nutrient,Lebanon,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,17606.65
Fertilizers by Nutrient,Lesotho,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Liberia,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Libya,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,32000
Fertilizers by Nutrient,Liechtenstein,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Lithuania,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,107016
Fertilizers by Nutrient,Luxembourg,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,13766
Fertilizers by Nutrient,Madagascar,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,4577.51
Fertilizers by Nutrient,Malawi,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,96533
Fertilizers by Nutrient,Malaysia,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,660849
Fertilizers by Nutrient,Maldives,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,127
Fertilizers by Nutrient,Mali,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,77893
Fertilizers by Nutrient,Malta,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,410
Fertilizers by Nutrient,Marshall Islands,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0.89
Fertilizers by Nutrient,Martinique,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Mauritania,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Mauritius,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,5125
Fertilizers by Nutrient,Mayotte,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Mexico,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,1074653
Fertilizers by Nutrient,Micronesia (Federated States of),Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Monaco,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Mongolia,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,11026
Fertilizers by Nutrient,Montenegro,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,1360
Fertilizers by Nutrient,Montserrat,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Morocco,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,220293
Fertilizers by Nutrient,Mozambique,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,43385
Fertilizers by Nutrient,Myanmar,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,51300
