Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IMAGE 3.0.1,IMA15-Def,World,Emissions|CH4|AFOLU,Mt CH4/yr,,153.8743876,164.7331333,170.4275726,160.0110368,152.4244184,140.8778374,132.5731564,132.0669525,135.2278442,121.6424365,,111.8497711,,109.9168547,,108.816371,,106.6352513,,104.108151
IMAGE 3.0.1,IMA15-Def,World,Population,million,,6530.547852,6921.797852,7302.094238,7671.501953,8015.398926,8327.682617,8608.792969,8857.175781,9069.899414,9242.542969,,9459.967773,,9531.094727,,9480.227539,,9325.707031,,9103.234375
IMAGE 3.0.1,IMA15-Def,World,Agricultural Production,million t DM/yr,,3228.591,3610.167,3990.717,4306.007,4506.025,4746.015,5550.672,7335.661,9023.198,9961,,10721.69,,11348.73,,11931.11,,12451.39,,12920.84
IMAGE 3.0.1,IMA15-Eff,World,Emissions|CH4|AFOLU,Mt CH4/yr,,153.8785098,164.7369831,170.4174826,159.9222077,152.4365435,140.8729866,132.6626656,127.9626963,134.4607918,125.4840882,,112.0046291,,109.988699,,109.0717409,,106.5241079,,104.0598136
IMAGE 3.0.1,IMA15-Eff,World,Population,million,,6530.547852,6921.797852,7302.094238,7671.501953,8015.398926,8327.682617,8608.792969,8857.175781,9069.899414,9242.542969,,9459.967773,,9531.094727,,9480.227539,,9325.707031,,9103.234375
IMAGE 3.0.1,IMA15-Eff,World,Agricultural Production,million t DM/yr,,3228.592,3610.168,3988.415,4294.583,4486.598,4698.136,5127.107,6694,8547.529,9727.168,,10662.41,,11429.22,,11980.43,,12272.93,,12778.91
IMAGE 3.0.1,IMA15-LiStCh,World,Emissions|CH4|AFOLU,Mt CH4/yr,,153.8771609,164.7448163,167.5088297,152.7242868,134.3664407,114.1733022,98.53668272,85.50758034,74.64631927,64.32489443,,64.27024889,,62.21065032,,61.24737501,,57.99552488,,56.12450576
IMAGE 3.0.1,IMA15-LiStCh,World,Population,million,,6530.547852,6921.797852,7302.094238,7671.501953,8015.398926,8327.682617,8608.792969,8857.175781,9069.899414,9242.542969,,9459.967773,,9531.094727,,9480.227539,,9325.707031,,9103.234375
IMAGE 3.0.1,IMA15-LiStCh,World,Agricultural Production,million t DM/yr,,3228.595,3610.165,3909.938,4154.61,4180.846,4215.606,4212.385,4280.638,4471.216,4712.971,,6024.147,,6959.408,,8114.995,,8876.769,,9083.603
IMAGE 3.0.1,IMA15-Pop,World,Emissions|CH4|AFOLU,Mt CH4/yr,,153.871236,164.7513205,169.9356413,158.3958338,149.6879678,137.1158943,128.5773851,122.2295306,116.9383612,114.0756104,,110.9223506,,102.7019536,,99.75348067,,95.09796029,,90.40780473
IMAGE 3.0.1,IMA15-Pop,World,Population,million,,6530.547852,6921.797852,7266.518066,7576.10498,7843.565918,8061.937988,8246.016602,8388.762695,8484.508789,8530.5,,8492.175781,,8298.950195,,7967.387207,,7510.454102,,6957.98877
IMAGE 3.0.1,IMA15-Pop,World,Agricultural Production,million t DM/yr,,3228.591,3610.167,3980.91,4275.9,4450.064,4631.819,4803.444,5042.528,5701.854,7589.925,,9728.989,,10384.22,,11123.07,,11207.36,,11893.02
IMAGE 3.0.1,IMA15-TOT,World,Emissions|CH4|AFOLU,Mt CH4/yr,,153.851634,164.749709,161.0274242,150.3923236,121.9575669,104.6294346,89.76291704,71.0890252,56.36614352,47.96006495,,37.59612811,,29.96846533,,27.17832172,,24.09321153,,21.07258486
IMAGE 3.0.1,IMA15-TOT,World,Population,million,,6530.547852,6921.797852,7266.518066,7576.10498,7843.565918,8061.937988,8246.016602,8388.762695,8484.508789,8530.5,,8492.175781,,8298.950195,,7967.387207,,7510.454102,,6957.98877
IMAGE 3.0.1,IMA15-TOT,World,Agricultural Production,million t DM/yr,,3228.599,3610.181,3941.712,4208.693,4399.723,4369.887,4147.409,4010.592,3900.405,3798.905,,3854.929,,3910.064,,3964.178,,4017.084,,4068.946
IMAGE 3.0.1,SSP1-19,World,Emissions|CH4|AFOLU,Mt CH4/yr,,153.5838779,164.3500378,,152.9489651,,122.5556087,,106.0790319,,86.35182709,,82.00264704,,78.37832034,,74.40712166,,70.34221208,,66.40874946
IMAGE 3.0.1,SSP1-19,World,Population,million,,6530.547852,6921.797852,,7576.10498,,8061.937988,,8388.762695,,8530.5,,8492.175781,,8298.950195,,7967.387207,,7510.454102,,6957.98877
MERGE-ETL 6.0,DAC15_50,World,Emissions|CH4|AFOLU,Mt CH4/yr,225.1,230.3,310.1,,255.2,,309.5,,375.2,,428.1,,435.5,,423.1,,404.2,,381,,353.9
MERGE-ETL 6.0,DAC15_50,World,Population,million,6530.2,6871.3,7251.4,,7631.5,,8296.2,,8849.5,,9282.7,,9593.2,,9806.6,,9949.3,,10043.8,,10107.2
MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100,World,Emissions|CH4|AFOLU,Mt CH4/yr,,147.7614517,149.3938373,,152.6364363,,132.5963759,,115.5970121,,101.5895001,,90.4038877,,82.7180746,,77.4763653,,73.6130721,,70.4899464
MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100,World,Population,million,,6503.13,6867.39,,7611.25,,8261.99,,8787.12,,9169.11,,9384.7,,9456.88,,9407.26,,9253.95,,9032.42
MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,World,Population,million,6119.419922,6503.129883,6867.390137,,7611.25,,8261.990234,,8787.120117,,9169.110352,,9384.700195,,9456.879883,,9407.259766,,9253.950195,,9032.419922
MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,World,Agricultural Production,million t DM/yr,2714.573242,3417.020996,4119.476074,,4879.030273,,7024.295898,,8384.651367,,10157.74805,,11565.14648,,12716.61035,,13668.99512,,14391.38672,,14933.18945
MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Population,million,6119.419922,6503.129883,6867.390137,,7611.25,,8261.990234,,8787.120117,,9169.110352,,9384.700195,,9456.879883,,9407.259766,,9253.950195,,9032.419922
MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Agricultural Production,million t DM/yr,2714.573242,3417.020996,4119.476074,,4879.030273,,7174.42627,,8554.042969,,10275.11523,,11644.91797,,12768.01758,,13700.34961,,14408.77344,,14942.71094
MESSAGE-GLOBIOM 1.0,SSP1-19,World,Emissions|CH4|AFOLU,Mt CH4/yr,,146.8904091,148.4032387,,128.3761484,,118.3502602,,109.1155505,,98.65384911,,88.36433242,,78.96356688,,69.94485423,,62.04913226,,54.7607928
MESSAGE-GLOBIOM 1.0,SSP1-19,World,Population,million,,6503.13,6867.4,,7516.44,,7997.91,,8321.62,,8461.4,,8422.58,,8231.66,,7902.84,,7448.96,,6899.93
MESSAGE-GLOBIOM 1.0,SSP2-19,World,Emissions|CH4|AFOLU,Mt CH4/yr,,146.8902395,149.5483113,,151.9378312,,151.2333454,,132.0422178,,115.8344,,102.1010052,,92.03323154,,83.27174132,,75.61662043,,68.89856018
MESSAGE-GLOBIOM 1.0,SSP2-19,World,Population,million,,6503.13,6867.39,,7611.25,,8261.99,,8787.12,,9169.11,,9384.7,,9456.88,,9407.26,,9253.95,,9032.42
