Domain,Area,Element,Item,Year,Unit,Value
Land Use,British Virgin Islands,Area,Land with temporary fallow,2010,,0
Land Use,British Virgin Islands,Area,Land under perm. meadows and pastures,2010,1000 ha,5
Land Use,Brunei Darussalam,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Brunei Darussalam,Area,Land with temporary fallow,2010,,0
Land Use,Brunei Darussalam,Area,Land under perm. meadows and pastures,2010,1000 ha,3.4
Land Use,Bulgaria,Area,Land under temp. meadows and pastures,2010,1000 ha,89
Land Use,Bulgaria,Area,Land with temporary fallow,2010,1000 ha,208
Land Use,Bulgaria,Area,Land under perm. meadows and pastures,2010,1000 ha,1702
Land Use,Burkina Faso,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Burkina Faso,Area,Land with temporary fallow,2010,,0
Land Use,Burkina Faso,Area,Land under perm. meadows and pastures,2010,1000 ha,6000
Land Use,Burundi,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Burundi,Area,Land with temporary fallow,2010,,0
Land Use,Burundi,Area,Land under perm. meadows and pastures,2010,1000 ha,483
Land Use,Cabo Verde,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Cabo Verde,Area,Land with temporary fallow,2010,,0
Land Use,Cabo Verde,Area,Land under perm. meadows and pastures,2010,1000 ha,25
Land Use,Cambodia,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Cambodia,Area,Land with temporary fallow,2010,,0
Land Use,Cambodia,Area,Land under perm. meadows and pastures,2010,1000 ha,1500
Land Use,Cameroon,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Cameroon,Area,Land with temporary fallow,2010,,0
Land Use,Cameroon,Area,Land under perm. meadows and pastures,2010,1000 ha,2000
Land Use,Canada,Area,Land under temp. meadows and pastures,2010,1000 ha,7081
Land Use,Canada,Area,Land with temporary fallow,2010,1000 ha,2370
Land Use,Canada,Area,Land under perm. meadows and pastures,2010,1000 ha,20416
Land Use,Cayman Islands,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Cayman Islands,Area,Land with temporary fallow,2010,,0
Land Use,Cayman Islands,Area,Land under perm. meadows and pastures,2010,1000 ha,2
Land Use,Central African Republic,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Central African Republic,Area,Land with temporary fallow,2010,,0
Land Use,Central African Republic,Area,Land under perm. meadows and pastures,2010,1000 ha,3200
Land Use,Chad,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Chad,Area,Land with temporary fallow,2010,,0
Land Use,Chad,Area,Land under perm. meadows and pastures,2010,1000 ha,45000
Land Use,Channel Islands,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Channel Islands,Area,Land with temporary fallow,2010,,0
Land Use,Channel Islands,Area,Land under perm. meadows and pastures,2010,1000 ha,4.8
