Aggregate|AggregateCode|FBS_ItemCode|FBS_ItemName|Type|SUA_ItemCode|SUA_ItemName,,
All|7000|2768|Meat, Aquatic Mammals|Animal|1580|Aq M Meat,
All|7000|2769|Aquatic Animals, Others|Animal|1587|Aqutc Anim F,
All|7000|2775|Aquatic Plants|Other|1594|Aqutc Plants,,
All|7000|2804|Rice (Paddy Equivalent)|Vegetal|27|Rice, Paddy,
All|7000|2805|Rice (Milled Equivalent)|Vegetal|27|Rice, Paddy,
All|7000|2820|Groundnuts (in Shell Eq)|Vegetal|242|Groundnuts,,
All|7000|6001|Oilpalm fruit|Vegetal|254|Oil Palm Fr,,
All|7000|6003|Seed Cotton (added)|Vegetal|328|Seed cotton,,
All|7000|6005|Milk including butter|Animal|1020|Goat Milk,,
All|7000|6005|Milk including butter|Animal|1130|Camel Milk,,
All|7000|6005|Milk including butter|Animal|882|Cow Milk,,
All|7000|6005|Milk including butter|Animal|951|Buffalo Milk,,
All|7000|6005|Milk including butter|Animal|982|Sheep Milk,,
All|7000|9998|Jatropha (added)|Vegetal|9998|Jatropha,,
All|7000|9999|Generic Grass|Vegetal|9999|Generic Grass,,
