"Country","All Classes","Arctic","Boreal, cold","Boreal, very cold","Subtropics, cold","Subtropics, cool","Subtropics, very cold","Subtropics, warm/mod. cool","Temperate, cold","Temperate, cool","Temperate, very cold","Tropics, cool/cold/very cold","Tropics, warm","Undefined"
"Latvia",64081.66200020909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64081.66200020909,0.0,0.0,0.0,0.0
"Lebanon",10139.92334318161,0.0,0.0,0.0,0.0,4287.4914709329605,0.0,5852.43187224865,0.0,0.0,0.0,0.0,0.0,0.0
"Lesotho",30499.23508399725,0.0,0.0,0.0,2145.8539428710938,11888.590943336487,0.0,15942.756697118282,0.0,0.0,0.0,522.0335006713867,0.0,0.0
"Liberia",96479.8668282628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96479.8668282628,0.0
"Libya",1620981.774813354,0.0,0.0,0.0,0.0,0.0,0.0,1591643.4978486896,0.0,0.0,0.0,0.0,29337.54858237505,0.7283822894096375
"Liechtenstein",151.04235243797302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.09482431411743,118.94752812385559,0.0,0.0,0.0,0.0
"Lithuania",64491.97296774387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64491.97296774387,0.0,0.0,0.0,0.0
"Luxembourg",2608.800112247467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2608.800112247467,0.0,0.0,0.0,0.0
"Madagascar",594206.0607721806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110143.63402557373,484061.58845961094,0.8382869958877563
"Malawi",118741.1469681859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18488.253262519836,100252.89370566607,0.0
"Malaysia",331948.51870030165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.8558712005615,330715.5116033554,11.151225745677948
"Maldives",185.32668405771255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.12351250648499,53.20317155122757
"Mali",1257746.0874046087,0.0,0.0,0.0,0.0,0.0,0.0,162980.68394231796,0.0,0.0,0.0,0.0,1094765.4034622908,0.0
"Malta",317.73036843538284,0.0,0.0,0.0,0.0,0.0,0.0,317.035077214241,0.0,0.0,0.0,0.0,0.0,0.6952912211418152
"Marshall Islands",189.0998209118843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.92270213365555,67.17711877822876
"Mauritania",1043404.7401074767,0.0,0.0,0.0,0.0,0.0,0.0,172388.08390963078,0.0,0.0,0.0,0.0,871016.6561978459,0.0
"Mauritius",2022.020971596241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.020971596241,0.0
"Mexico",1965060.4602882862,0.0,0.0,0.0,0.0,36883.22787284851,0.0,591351.6658553481,0.0,0.0,0.0,582765.9372128248,753975.7266839743,83.90266329050064
"Micronesia (Federated States of)",693.9449926018715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.2081781625748,18.736814439296722
"Republic of Moldova",33658.19238936901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33658.19238936901,0.0,0.0,0.0,0.0
"Monaco",7.435232043266296,0.0,0.0,0.0,0.0,4.336820602416992,0.0,3.098411440849304,0.0,0.0,0.0,0.0,0.0,0.0
"Mongolia",1559229.5886526704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655644.0999878645,844824.9560950994,58760.53256970644,0.0,0.0,0.0
"Morocco",406759.5084454417,0.0,0.0,0.0,0.0,46677.61328935623,0.0,360081.19986486435,0.0,0.0,0.0,0.0,0.0,0.6952912211418152
"Mozambique",791189.3674147725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11324.69850742817,779839.2797404528,25.38916689157486
"Myanmar",670358.3878878951,0.0,0.0,0.0,0.0,75.60159301757812,545.7509462833405,49408.06939649582,0.0,0.0,0.0,79472.94479727745,540848.5127851367,7.50836968421936
"Namibia",827571.276612699,0.0,0.0,0.0,0.0,0.0,0.0,174513.05094140768,0.0,0.0,0.0,221966.62054479122,431091.60512650013,0.0
"Nauru",16.349887371063232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.349887371063232,0.0
"Nepal",147646.3981269002,0.0,0.0,0.0,7612.924120903015,26497.438081085682,24898.486269652843,88637.54965525866,0.0,0.0,0.0,0.0,0.0,0.0
"Netherlands",34992.09176528454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34992.09176528454,0.0,0.0,0.0,0.0
"New Zealand",269828.8166718483,137.75297892093658,120.02237606048584,427.112739443779,11660.042652130127,116001.6271058917,1298.318286895752,69165.82818967104,7280.493129730225,63425.62397134304,302.02668380737305,0.0,0.0,9.968557953834534
"Nicaragua",129752.9941855073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.1428985595703,129417.85128694773,0.0
"Niger",1189553.9339877367,0.0,0.0,0.0,0.0,0.0,0.0,168597.47080636024,0.0,0.0,0.0,0.0,1020956.4631813765,0.0
"Nigeria",915037.523648262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.4679179191589,914256.0557303429,0.0
"Niue",269.0521733760834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0521733760834,0.0
"Norway",321212.19475504756,1025.972515553236,122248.14660203457,61231.94022503495,0.0,0.0,0.0,0.0,75220.19119533896,23589.97091332078,37888.69418525696,0.0,0.0,7.27911850810051
