Domain,Area,Element,Item,Year,Unit,Value
Fertilizers indicators,Djibouti,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Dominica,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,4.96
Fertilizers indicators,Dominican Republic,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,45.05
Fertilizers indicators,Ecuador,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,61.72
Fertilizers indicators,Egypt,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,386.55
Fertilizers indicators,El Salvador,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,82.04
Fertilizers indicators,Equatorial Guinea,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Eritrea,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,0.4
Fertilizers indicators,Estonia,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,43.9
Fertilizers indicators,Eswatini,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Ethiopia,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,9.96
Fertilizers indicators,Ethiopia PDR,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Falkland Islands (Malvinas),Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Faroe Islands,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Fiji,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,9.74
Fertilizers indicators,Finland,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,93.39
Fertilizers indicators,France,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,105.79
Fertilizers indicators,French Guiana,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,French Polynesia,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,14.65
Fertilizers indicators,Gabon,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,1.2
Fertilizers indicators,Gambia,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,3.92
