Domain,Area,Element,Item,Year,Unit,Value
Livestock Primary,France,Yield/Carcass Weight,"Meat, pig",2010,hg/An,889
Livestock Primary,France,Production,"Meat, pig",2010,tonnes,2254688
Livestock Primary,France,Producing Animals/Slaughtered,"Skins, goat, fresh",2010,Head,1178745
Livestock Primary,France,Yield,"Skins, goat, fresh",2010,hg/An,3
Livestock Primary,France,Production,"Skins, goat, fresh",2010,tonnes,302
Livestock Primary,France,Producing Animals/Slaughtered,"Skins, pig, fresh",2010,Head,25348236
Livestock Primary,France,Yield,"Skins, pig, fresh",2010,,0
Livestock Primary,France,Production,"Skins, pig, fresh",2010,,0
Livestock Primary,France,Producing Animals/Slaughtered,"Skins, sheep, fresh",2010,Head,6513656
Livestock Primary,France,Yield,"Skins, sheep, fresh",2010,hg/An,21
Livestock Primary,France,Production,"Skins, sheep, fresh",2010,tonnes,13533
Livestock Primary,France,Producing Animals/Slaughtered,Beef and Buffalo Meat,2010,Head,5162943
Livestock Primary,France,Yield/Carcass Weight,Beef and Buffalo Meat,2010,hg/An,2964
Livestock Primary,France,Production,Beef and Buffalo Meat,2010,tonnes,1530258
Livestock Primary,France,Laying,Eggs Primary,2010,1000 Head,56473
Livestock Primary,France,Yield,Eggs Primary,2010,100mg/An,167602
Livestock Primary,France,Production,Eggs Primary,2010,tonnes,946500
Livestock Primary,France,Production,"Meat indigenous, total",2010,tonnes,6257576
Livestock Primary,France,Producing Animals/Slaughtered,"Meat, Poultry",2010,1000 Head,954892
Livestock Primary,France,Yield/Carcass Weight,"Meat, Poultry",2010,0.1g/An,18403
Livestock Primary,France,Production,"Meat, Poultry",2010,tonnes,1757257
Livestock Primary,France,Milk Animals,"Milk, Total",2010,Head,6022508
Livestock Primary,France,Yield,"Milk, Total",2010,hg/An,40192
Livestock Primary,France,Production,"Milk, Total",2010,tonnes,24205636
Livestock Primary,France,Producing Animals/Slaughtered,Sheep and Goat Meat,2010,Head,7692401
Livestock Primary,France,Yield/Carcass Weight,Sheep and Goat Meat,2010,hg/An,170
Livestock Primary,France,Production,Sheep and Goat Meat,2010,tonnes,130782
Livestock Primary,India,Producing Animals/Slaughtered,"Hides, buffalo, fresh",2010,Head,11200000
Livestock Primary,India,Yield,"Hides, buffalo, fresh",2010,hg/An,304
Livestock Primary,India,Production,"Hides, buffalo, fresh",2010,tonnes,340735
Livestock Primary,India,Producing Animals/Slaughtered,"Hides, cattle, fresh",2010,Head,9690000
Livestock Primary,India,Yield,"Hides, cattle, fresh",2010,hg/An,200
Livestock Primary,India,Production,"Hides, cattle, fresh",2010,tonnes,193626
Livestock Primary,India,Producing Animals/Slaughtered,"Meat, pig",2010,Head,10600000
Livestock Primary,India,Yield/Carcass Weight,"Meat, pig",2010,hg/An,350
Livestock Primary,India,Production,"Meat, pig",2010,tonnes,371000
