Domain|Area|Element|Item|Year|Unit|Value
Livestock Primary|American Samoa|Production|Meat indigenous, pig|2010|Head|6300
Livestock Primary|American Samoa|Yield/Carcass Weight|Meat indigenous, pig|2010|hg/An|500
Livestock Primary|American Samoa|Production|Meat indigenous, pig|2010|tonnes|315
Livestock Primary|American Samoa|Producing Animals/Slaughtered|Meat, pig|2010|Head|6222
Livestock Primary|American Samoa|Yield/Carcass Weight|Meat, pig|2010|hg/An|500
Livestock Primary|American Samoa|Production|Meat, pig|2010|tonnes|311
Livestock Primary|American Samoa|Producing Animals/Slaughtered|Beef and Buffalo Meat|2010|Head|24
Livestock Primary|American Samoa|Yield/Carcass Weight|Beef and Buffalo Meat|2010|hg/An|1500
Livestock Primary|American Samoa|Production|Beef and Buffalo Meat|2010|tonnes|4
Livestock Primary|American Samoa|Laying|Eggs Primary|2010|1000 Head|9
Livestock Primary|American Samoa|Yield|Eggs Primary|2010|100mg/An|51648
Livestock Primary|American Samoa|Production|Eggs Primary|2010|tonnes|45
Livestock Primary|American Samoa|Production|Meat indigenous, poultry|2010|1000 Head|30
Livestock Primary|American Samoa|Yield/Carcass Weight|Meat indigenous, poultry|2010||0
Livestock Primary|American Samoa|Production|Meat indigenous, poultry|2010|tonnes|24
Livestock Primary|American Samoa|Production|Meat indigenous, total|2010|tonnes|343
Livestock Primary|American Samoa|Producing Animals/Slaughtered|Meat, Poultry|2010|1000 Head|32
Livestock Primary|American Samoa|Yield/Carcass Weight|Meat, Poultry|2010|0.1g/An|8000
Livestock Primary|American Samoa|Production|Meat, Poultry|2010|tonnes|26
Livestock Primary|American Samoa|Production|Meat, Total|2010|tonnes|340
Livestock Primary|American Samoa|Milk Animals|Milk, Total|2010|Head|24
Livestock Primary|American Samoa|Yield|Milk, Total|2010|hg/An|13773
Livestock Primary|American Samoa|Production|Milk, Total|2010|tonnes|33
Livestock Primary|American Samoa|Producing Animals/Slaughtered|Sheep and Goat Meat|2010||0
Livestock Primary|American Samoa|Yield/Carcass Weight|Sheep and Goat Meat|2010||0
Livestock Primary|American Samoa|Production|Sheep and Goat Meat|2010||0
Livestock Primary|Andorra|Production|Meat indigenous, pig|2010||0
Livestock Primary|Andorra|Yield/Carcass Weight|Meat indigenous, pig|2010||0
Livestock Primary|Andorra|Production|Meat indigenous, pig|2010||0
Livestock Primary|Andorra|Producing Animals/Slaughtered|Meat, pig|2010||0
Livestock Primary|Andorra|Yield/Carcass Weight|Meat, pig|2010||0
Livestock Primary|Andorra|Production|Meat, pig|2010||0
Livestock Primary|Andorra|Producing Animals/Slaughtered|Beef and Buffalo Meat|2010||0
Livestock Primary|Andorra|Yield/Carcass Weight|Beef and Buffalo Meat|2010||0
Livestock Primary|Andorra|Production|Beef and Buffalo Meat|2010||0
Livestock Primary|Andorra|Laying|Eggs Primary|2010||0
Livestock Primary|Andorra|Yield|Eggs Primary|2010||0
Livestock Primary|Andorra|Production|Eggs Primary|2010||0
Livestock Primary|Andorra|Production|Meat indigenous, poultry|2010||0
Livestock Primary|Andorra|Yield/Carcass Weight|Meat indigenous, poultry|2010||0
Livestock Primary|Andorra|Production|Meat indigenous, poultry|2010||0
Livestock Primary|Andorra|Production|Meat indigenous, total|2010||0
Livestock Primary|Andorra|Producing Animals/Slaughtered|Meat, Poultry|2010||0
Livestock Primary|Andorra|Yield/Carcass Weight|Meat, Poultry|2010||0
Livestock Primary|Andorra|Production|Meat, Poultry|2010||0
Livestock Primary|Andorra|Production|Meat, Total|2010||0
Livestock Primary|Andorra|Milk Animals|Milk, Total|2010||0
Livestock Primary|Andorra|Yield|Milk, Total|2010||0
Livestock Primary|Andorra|Production|Milk, Total|2010||0
Livestock Primary|Andorra|Producing Animals/Slaughtered|Sheep and Goat Meat|2010||0
Livestock Primary|Andorra|Yield/Carcass Weight|Sheep and Goat Meat|2010||0
Livestock Primary|Andorra|Production|Sheep and Goat Meat|2010||0
Livestock Primary|Angola|Production|Meat indigenous, pig|2010|Head|1070000
Livestock Primary|Angola|Yield/Carcass Weight|Meat indigenous, pig|2010|hg/An|650
Livestock Primary|Angola|Production|Meat indigenous, pig|2010|tonnes|69550
Livestock Primary|Angola|Producing Animals/Slaughtered|Meat, pig|2010|Head|1070000
Livestock Primary|Angola|Yield/Carcass Weight|Meat, pig|2010|hg/An|650
Livestock Primary|Angola|Production|Meat, pig|2010|tonnes|69550
Livestock Primary|Angola|Producing Animals/Slaughtered|Beef and Buffalo Meat|2010|Head|580000
Livestock Primary|Angola|Yield/Carcass Weight|Beef and Buffalo Meat|2010|hg/An|1700
Livestock Primary|Angola|Production|Beef and Buffalo Meat|2010|tonnes|98600
Livestock Primary|Angola|Laying|Eggs Primary|2010|1000 Head|850
Livestock Primary|Angola|Yield|Eggs Primary|2010|100mg/An|58235
Livestock Primary|Angola|Production|Eggs Primary|2010|tonnes|4950
Livestock Primary|Angola|Production|Meat indigenous, poultry|2010|1000 Head|21070
Livestock Primary|Angola|Yield/Carcass Weight|Meat indigenous, poultry|2010||0
Livestock Primary|Angola|Production|Meat indigenous, poultry|2010|tonnes|18963
Livestock Primary|Angola|Production|Meat indigenous, total|2010|tonnes|216773
Livestock Primary|Angola|Producing Animals/Slaughtered|Meat, Poultry|2010|1000 Head|21200
Livestock Primary|Angola|Yield/Carcass Weight|Meat, Poultry|2010|0.1g/An|9000
Livestock Primary|Angola|Production|Meat, Poultry|2010|tonnes|19080
Livestock Primary|Angola|Production|Meat, Total|2010|tonnes|217027
Livestock Primary|Angola|Milk Animals|Milk, Total|2010|Head|397400
Livestock Primary|Angola|Yield|Milk, Total|2010|hg/An|5014
Livestock Primary|Angola|Production|Milk, Total|2010|tonnes|199270
Livestock Primary|Angola|Producing Animals/Slaughtered|Sheep and Goat Meat|2010|Head|1395000
Livestock Primary|Angola|Yield/Carcass Weight|Sheep and Goat Meat|2010|hg/An|150
Livestock Primary|Angola|Production|Sheep and Goat Meat|2010|tonnes|20925
Livestock Primary|Anguilla|Production|Meat indigenous, pig|2010||0
Livestock Primary|Anguilla|Yield/Carcass Weight|Meat indigenous, pig|2010||0
Livestock Primary|Anguilla|Production|Meat indigenous, pig|2010||0
Livestock Primary|Anguilla|Producing Animals/Slaughtered|Meat, pig|2010||0
Livestock Primary|Anguilla|Yield/Carcass Weight|Meat, pig|2010||0
Livestock Primary|Anguilla|Production|Meat, pig|2010||0
