AIM/CGE 2.1,TERL_15D_NoTransportPolicy,World,Emissions|CH4|AFOLU,Mt CH4/yr,,,,,,167.6717,,,,,179.4746,,,,,189.8957,198.2696,167.0327,144.4214,126.7034,122.2097,120.3792,120.2783,128.0824,131.461,132.9614,132.0503,130.2582,128.2423,123.9413,118.2435,107.664,104.2804
AIM/CGE 2.1,TERL_15D_NoTransportPolicy,World,Agricultural Demand,million t DM/yr,,,,,,3501.0726,,,,,3765.7267,,,,,4037.9015,4328.7166,4633.7177,5094.331,6478.634,7669.8251,8665.7268,9353.9234,10040.0199,11111.5617,12246.8564,12847.6128,13241.8175,13413.5476,13272.5207,12874.0727,11746.5809,11092.9712
C-ROADS-5.005,Ratchet-1.5-allCDR,World,Emissions|CH4,Mt CH4/yr,,,,,,312.093,,,,,327.403,,,,,345.888,348.559,354.157,349.398,297.596,256.084,222.469,195.215,184.926,177.313,168.124,158.935,148.253,137.57,133.613,129.656,126.23,122.804
C-ROADS-5.005,Ratchet-1.5-limCDR,World,Emissions|CH4,Mt CH4/yr,,,,,,312.093,,,,,327.403,,,,,345.888,346.942,351.864,285.112,244.899,221.588,206.618,191.803,184.558,177.313,168.124,158.935,148.253,137.57,133.613,129.656,126.23,122.804
C-ROADS-5.005,Ratchet-1.5-limCDR-noOS,World,Emissions|CH4,Mt CH4/yr,,,,,,312.093,,,,,327.403,,,,,345.888,346.802,301.474,260.01,240.722,221.434,206.618,191.803,184.558,177.313,168.124,158.935,148.253,137.57,133.613,129.656,126.23,122.804
C-ROADS-5.005,Ratchet-1.5-noCDR,World,Emissions|CH4,Mt CH4/yr,,,,,,312.093,,,,,327.403,,,,,345.888,346.942,351.864,260.241,240.722,221.434,206.618,191.803,184.558,177.313,168.124,158.935,148.253,137.57,133.613,129.656,126.23,122.804
C-ROADS-5.005,Ratchet-1.5-noCDR-noOS,World,Emissions|CH4,Mt CH4/yr,,,,,,312.093,,,,,327.403,,,,,345.888,346.802,293.161,260.01,240.722,221.434,206.618,191.803,184.558,177.313,168.124,158.935,148.253,137.57,133.613,129.656,126.23,122.804
GCAM 4.2,SSP1-19,World,Emissions|CH4,Mt CH4/yr,,,,,,342.8075827,,,,,368.2888156,,,,,,342.1350407,,277.9403921,,256.7489828,,222.8661704,,194.8873202,,167.9866514,,152.4607167,,138.8806463,,125.4224859
GCAM 4.2,SSP1-19,World,Emissions|CH4|AFOLU,Mt CH4/yr,,,,,,163.0791555,,,,,175.1418408,,,,,,173.107012,,156.6939664,,149.7880437,,144.8005983,,135.8050158,,123.5258334,,117.4353323,,110.2620286,,102.1475953
GCAM 4.2,SSP1-19,World,Agricultural Demand|Crops,million t DM/yr,,,,,,3004.498417,,,,,3256.111096,,,,,,3574.199153,,3800.291333,,3936.965813,,3994.691216,,3955.932082,,3826.716715,,3627.639847,,3359.300109,,3028.986308
GCAM 4.2,SSP1-19,World,Agricultural Demand|Livestock,million t DM/yr,,,,,,154.5804507,,,,,168.4390523,,,,,,204.9853889,,232.5562289,,257.0994879,,277.3734783,,288.3362437,,287.878862,,280.0086541,,266.4079784,,246.129578
GCAM 4.2,SSP2-19,World,Emissions|CH4,Mt CH4/yr,,,,,,342.8075827,,,,,368.2888152,,,,,,371.0505116,,338.4892352,,327.7534693,,324.4300349,,315.9192917,,308.1095954,,297.6645652,,286.2550399,,273.3582653
GCAM 4.2,SSP2-19,World,Emissions|CH4|AFOLU,Mt CH4/yr,,,,,,163.0791555,,,,,175.1418408,,,,,,193.0740847,,200.5752223,,215.2490204,,230.1660498,,234.7074991,,238.906476,,241.6005861,,239.2523677,,233.0802514
GCAM 4.2,SSP2-19,World,Agricultural Demand|Crops,million t DM/yr,,,,,,3004.498417,,,,,3256.111096,,,,,,3674.592037,,4075.653592,,4435.336426,,4736.603042,,4850.958365,,4882.383936,,4847.29413,,4728.617273,,4543.112148
GCAM 4.2,SSP2-19,World,Agricultural Demand|Livestock,million t DM/yr,,,,,,154.5804507,,,,,168.4390523,,,,,,200.2721654,,226.3947676,,245.5368123,,260.6831057,,262.7410662,,261.6406176,,255.7775754,,246.3454163,,233.9938775
GCAM 4.2,SSP5-19,World,Emissions|CH4,Mt CH4/yr,,,,,,342.8075827,,,,,368.2888156,,,,,,364.1441545,,308.9697181,,296.1525943,,285.9355527,,272.1494452,,256.5094902,,237.1462421,,215.9899675,,191.8524083
GCAM 4.2,SSP5-19,World,Emissions|CH4|AFOLU,Mt CH4/yr,,,,,,163.0791555,,,,,175.1418408,,,,,,187.3081003,,181.7640454,,185.4817534,,186.1726005,,178.0334038,,170.388386,,166.4806813,,158.894124,,150.4176661
GCAM 4.2,SSP5-19,World,Agricultural Demand|Crops,million t DM/yr,,,,,,3004.498417,,,,,3256.111096,,,,,,3649.818759,,4024.404811,,4339.989453,,4528.401558,,4508.889018,,4417.76636,,4302.456218,,4073.893663,,3778.951148
GCAM 4.2,SSP5-19,World,Agricultural Demand|Livestock,million t DM/yr,,,,,,154.5804507,,,,,168.4390523,,,,,,199.6983927,,225.5351999,,239.8185391,,248.0019641,,245.582287,,239.8950865,,234.3090385,,222.1030736,,207.129193
IMAGE 3.0.1,ADVANCE_2020_1.5C-2100,World,Emissions|CH4,Mt CH4/yr,,,,,,319.9992981,,,,,350.5751038,,,,,352.2573853,362.791687,292.8286133,258.6679077,232.8972931,216.1535034,206.2848969,198.852005,192.9134979,186.9315948,183.800705,181.3162994,179.8088989,178.256897,175.7006989,172.7427063,169.2254944,166.1389008
IMAGE 3.0.1,ADVANCE_2020_1.5C-2100,World,Emissions|CH4|AFOLU,Mt CH4/yr,,,,,,154.7816857,,,,,165.7603805,,,,,167.1808727,173.3462946,158.551518,147.7176967,139.64732,131.2414782,126.8026571,123.5074482,120.7350919,116.909164,115.5689549,114.3711698,113.8169811,113.2277303,112.1502658,111.0468582,109.5523926,108.3800514
IMAGE 3.0.1,CD-LINKS_NPi2020_400,World,Emissions|CH4,Mt CH4/yr,,,,,,319.0846863,,,,,348.8815002,,,,,367.8930969,379.6402893,299.1119995,266.6601868,239.7713013,218.902298,208.1320953,204.222702,,186.9951019,,181.3023071,,177.8509979,,172.8894958,,166.1309052
IMAGE 3.0.1,CD-LINKS_NPi2020_400,World,Emissions|CH4|AFOLU,Mt CH4/yr,,,,,,154.106974,,,,,164.2250139,,,,,170.3788244,175.246506,154.6097932,146.8371699,139.1482645,130.9825073,127.5229504,129.0132082,,117.1282852,,114.6845189,,113.2351636,,111.350996,,108.4788181
IMAGE 3.0.1,IMA15-AGInt,World,Emissions|CH4,Mt CH4/yr,,,,,,318.9356995,,,,,349.4858093,,,,,369.9284973,314.9157104,265.4068909,231.2201996,205.6660004,188.8182983,177.2843933,166.652298,,163.7588959,,154.3757935,,147.1759033,,139.8847961,,134.0643005
IMAGE 3.0.1,IMA15-AGInt,World,Emissions|CH4|AFOLU,Mt CH4/yr,,,,,,153.8350174,,,,,164.7452599,,,,,170.4834156,154.8023061,137.973613,124.8040773,114.1505788,105.799962,98.90724897,91.78655863,,92.76025128,,86.28629017,,83.07413554,,80.01850134,,77.57994682
IMAGE 3.0.1,IMA15-AGInt,World,Agricultural Demand,million t DM/yr,,,,,,3228.591,,,,,3610.173,,,,,3980.016,4284.598,4465.311,4659.122,4835.036,5087.696,5479.379,6552.2,,8852.564,,9600.157,,10547.2,,10622.99,,11395.87
IMAGE 3.0.1,IMA15-AGInt,World,Agricultural Demand|Crops,million t DM/yr,,,,,,2923.251938,,,,,3242.273,,,,,3537.924875,3833.618125,4060.014375,4286.43325,4410.571,4534.712375,4658.8585,4783.008625,,4851.077125,,4919.149375,,4987.225375,,5055.306125,,5123.392125
IMAGE 3.0.1,IMA15-AGInt,World,Agricultural Demand|Livestock,million t DM/yr,,,,,,238.9864756,,,,,262.4407471,,,,,283.9434111,305.445834,322.8853643,340.3250156,351.4770381,362.6292012,373.7814111,384.9335049,,390.519543,,396.1056035,,401.6917197,,407.2778623,,412.8640205
IMAGE 3.0.1,IMA15-Def,World,Emissions|CH4,Mt CH4/yr,,,,,,318.9750061,,,,,349.4736938,,,,,369.8725891,320.1242065,279.6384888,245.5063934,221.0861969,212.7649994,212.7321014,195.4833069,,181.2756042,,176.7124023,,173.1941986,,166.8058014,,160.4786987
IMAGE 3.0.1,IMA15-Def,World,Emissions|CH4|AFOLU,Mt CH4/yr,,,,,,153.8743876,,,,,164.7331333,,,,,170.4275726,160.0110368,152.4244184,140.8778374,132.5731564,132.0669525,135.2278442,121.6424365,,111.8497711,,109.9168547,,108.816371,,106.6352513,,104.108151
IMAGE 3.0.1,IMA15-Def,World,Agricultural Demand,million t DM/yr,,,,,,3228.591,,,,,3610.167,,,,,3990.717,4306.007,4506.025,4746.015,5550.671,7335.661,9023.198,9961,,10721.69,,11348.73,,11931.11,,12451.39,,12920.84
IMAGE 3.0.1,IMA15-Def,World,Agricultural Demand|Crops,million t DM/yr,,,,,,2923.251375,,,,,3242.267438,,,,,3548.624938,3855.026625,4100.723125,4346.45475,4497.17325,4647.9145,4798.672125,4949.452375,,5033.363375,,5117.298875,,5201.25525,,5285.235625,,5369.239375
